open,high,low,close
11.75,11.99,11.72,11.87
11.87,11.96,11.77,11.89
11.89,12.35,11.84,12.25
12.25,12.69,12.15,12.57
12.57,12.66,12.25,12.28
12.28,12.5,12.01,12.37
12.37,12.4,12.14,12.24
12.24,12.27,11.63,12.19
12.19,12.3,11.95,12.1
12.1,12.23,12.01,12.2
12.2,12.46,12.02,12.27
12.27,12.4,12.21,12.31
12.31,12.45,12.12,12.39
12.39,12.49,12.21,12.36
12.36,12.45,12.3,12.4
12.4,12.48,12.32,12.4
12.4,12.88,12.34,12.84
12.84,12.99,12.68,12.89
12.89,13.09,12.6,12.85
12.85,12.97,12.51,12.69
12.69,12.86,12.35,12.51
12.51,12.62,11.7,11.8
11.8,11.95,10.62,11.78
11.78,12.35,11.57,11.9
11.9,12.19,11.77,12.12
12.12,12.15,11.86,12.03
12.03,12.15,11.92,12
12,12.11,11.85,11.86
11.86,12.03,11.5,11.74
11.74,11.99,11.43,11.84
11.84,11.99,11.5,11.85
11.85,11.96,11.7,11.81
11.81,11.96,11.75,11.94
11.94,11.97,11.62,11.74
11.74,11.85,11.56,11.74
11.74,11.77,11.61,11.63
11.63,11.81,11.47,11.71
11.71,12,11.41,11.65
11.65,11.79,11.59,11.65
11.65,11.7,10.52,10.86
10.86,10.95,9.74,10.17
10.17,10.84,9.82,10.26
10.26,10.95,10.25,10.7
10.7,10.94,10.32,10.6
10.6,10.89,10.58,10.89
10.89,11.21,10.71,11.2
11.2,11.28,10.4,10.57
10.57,10.8,10.33,10.47
10.47,10.65,10.4,10.64
10.64,10.9,10.51,10.8
10.8,10.88,10.61,10.75
10.75,10.9,10.67,10.9
10.9,11.22,10.8,10.92
10.92,11.07,10.75,10.93
10.93,10.98,10.79,10.82
